Data,MSCI China
01/2005,3187.4999999999995
02/2005,3423.5999999999995
03/2005,3247.1999999999994
04/2005,3260.499999999999
05/2005,3292.199999999999
06/2005,3429.5999999999995
07/2005,3678.3999999999996
08/2005,3698.5999999999995
09/2005,3916.0999999999995
10/2005,3532.4999999999995
11/2005,3781.1999999999994
12/2005,3902.5
01/2006,4451.7
02/2006,4591.899999999998
03/2006,4738.599999999999
04/2006,4986.9
05/2006,4729.799999999999
06/2006,4827.699999999999
07/2006,4955.799999999999
08/2006,5063.9
09/2006,5252.299999999999
10/2006,5614.699999999999
11/2006,6228.399999999999
12/2006,7136.5999999999985
01/2007,6834.099999999998
02/2007,6713.999999999999
03/2007,6972.799999999999
04/2007,7235.199999999999
05/2007,7780.299999999999
06/2007,8677.7
07/2007,9575.8
08/2007,10265.699999999999
09/2007,12312.599999999999
10/2007,14355.799999999997
11/2007,12415.599999999999
12/2007,11863.499999999998
01/2008,9305.699999999999
02/2008,10308.799999999997
03/2008,9053.499999999998
04/2008,10466.699999999999
05/2008,9947.899999999998
06/2008,8740.3
07/2008,8941.699999999999
08/2008,8209.999999999998
09/2008,6536.099999999999
10/2008,5049.599999999999
11/2008,5279.4
12/2008,5833.700000000001
01/2009,5349.299999999999
02/2009,5179.599999999999
03/2009,5911.399999999999
04/2009,6567.899999999999
05/2009,7709.899999999999
06/2009,8028.299999999999
07/2009,8898.099999999999
08/2009,8272.599999999999
09/2009,8659.399999999998
10/2009,9217.4
11/2009,9443.8
12/2009,9487.399999999998
01/2010,8668.099999999999
02/2010,8858.199999999997
03/2010,9337.999999999996
04/2010,9306.899999999998
05/2010,8808.1
06/2010,8919.999999999998
07/2010,9309.699999999999
08/2010,9053.499999999996
09/2010,9877.199999999999
10/2010,10261.699999999999
11/2010,10017.599999999999
12/2010,9945.999999999998
01/2011,9894.3
02/2011,9715.9
03/2011,10232.899999999998
04/2011,10399.099999999997
05/2011,10436.899999999998
06/2011,10054.3
07/2011,9971.599999999997
08/2011,9042.4
09/2011,7521.899999999998
10/2011,8662.4
11/2011,7934.699999999999
12/2011,8131.5999999999985
01/2012,9011.899999999998
02/2012,9599.199999999999
03/2012,8938.099999999999
04/2012,9255.699999999997
05/2012,8284.9
06/2012,8468.1
