Data,EURO STOXX 50
04/2018,103175.54140028622
05/2018,97411.90015014997
06/2018,96874.24891024343
07/2018,101358.39303963953
08/2018,96891.82080122994
09/2018,96532.04089329594
10/2018,88842.79115827326
11/2018,88533.73037510831
12/2018,84533.1332822812
01/2019,89481.5925452854
02/2019,92848.16550329623
03/2019,93041.56385143561
04/2019,97851.78948852692
05/2019,91891.60659960736
06/2019,99407.14000931938
07/2019,97320.20554440524
08/2019,95282.72797318792
09/2019,98012.19566718992
10/2019,101481.64737499536
11/2019,102711.05651031465
12/2019,106328.41359913776
01/2020,101820.27088715132
02/2020,92574.82165902223
03/2020,77419.64503122885
04/2020,80946.34926927206
05/2020,86807.1702630513
06/2020,92872.7421719064
07/2020,96686.13547607441
08/2020,100539.22302810101
09/2020,96291.93667369949
10/2020,89177.04467634592
11/2020,107844.01341361493
12/2020,112421.03185904279
01/2021,109090.83011271295
02/2021,113907.37885883254
03/2021,118869.95460525774
04/2021,124721.38063562373
05/2021,128848.4371825328
06/2021,126359.61738568236
07/2021,127344.93864651656
08/2021,130070.22093772843
09/2021,122927.48419388237
10/2021,129993.95426605933
11/2021,121354.61354957908
12/2021,127985.43806149883
01/2022,122562.11505351473
02/2022,115748.65503026205
03/2022,114213.16769465113
04/2022,106181.34853474067
05/2022,108868.03918484542
06/2022,96308.36481064932
07/2022,101589.80996745455
08/2022,94539.34045026112
09/2022,87027.90468389502
10/2022,96552.45032773788
11/2022,110852.56112870928
12/2022,109089.74721046293
01/2023,121749.84227231197
02/2023,121614.29043499783
03/2023,126975.92335186584
04/2023,130317.83821583736
05/2023,123978.61951343993
06/2023,131573.73678513148
07/2023,135801.57091524338
08/2023,128756.9603740357
09/2023,122006.56972199594
10/2023,119054.96243140947
11/2023,132405.8360451847
12/2023,138138.41864344248
01/2024,139448.88015591737
02/2024,146334.93737261754
03/2024,152457.1694741569
04/2024,147462.88473205746
05/2024,152469.69639366097
06/2024,147792.5673296623
07/2024,149015.5023363681
08/2024,155316.81090290283
09/2024,158271.5592808009
10/2024,148692.36280336665
11/2024,143792.83671103255
12/2024,144178.72154727738
01/2025,155917.3466124576
02/2025,161575.2858089714
