Data,Gold spot price
05/1986,15185.840707964602
06/1986,15342.920353982301
07/1986,15818.58407079646
08/1986,17022.12389380531
09/1986,18725.66371681416
10/1986,17743.36283185841
11/1986,17234.513274336285
12/1986,17296.46017699115
01/1987,17721.2389380531
02/1987,17957.964601769912
03/1987,18628.318584070796
04/1987,20055.309734513277
05/1987,19955.75221238938
06/1987,19792.035398230088
07/1987,20464.601769911504
08/1987,20061.94690265487
09/1987,20331.858407079646
10/1987,20743.36283185841
11/1987,21792.035398230088
12/1987,21526.548672566372
01/1988,20265.486725663715
02/1988,18856.194690265485
03/1988,20219.026548672562
04/1988,19867.256637168142
05/1988,20154.867256637168
06/1988,19316.37168141593
07/1988,19327.433628318584
08/1988,18926.991150442478
09/1988,17553.097345132745
10/1988,18247.78761061947
11/1988,18699.115044247792
12/1988,18148.230088495577
01/1989,17433.62831858407
02/1989,17123.893805309734
03/1989,16955.75221238938
04/1989,16705.75221238938
05/1989,16008.849557522124
06/1989,16504.424778761062
07/1989,16296.46017699115
08/1989,15920.353982300885
09/1989,16216.814159292033
10/1989,16606.19469026549
11/1989,18059.734513274336
12/1989,17743.36283185841
01/1990,18365.04424778761
02/1990,18039.82300884956
03/1990,16305.309734513274
04/1990,16272.12389380531
05/1990,16064.159292035398
06/1990,15584.070796460177
07/1990,16473.451327433628
08/1990,17157.079646017697
09/1990,18070.796460176993
10/1990,16792.035398230088
11/1990,17028.761061946905
12/1990,17300.88495575221
01/1991,16194.690265486726
02/1991,16048.67256637168
03/1991,15736.725663716814
04/1991,15829.646017699115
05/1991,15946.902654867257
06/1991,16298.67256637168
07/1991,16055.309734513274
08/1991,15371.681415929204
09/1991,15703.53982300885
10/1991,15816.371681415929
11/1991,16207.964601769912
12/1991,15637.168141592916
01/1992,15668.141592920354
02/1992,15623.893805309735
03/1992,15119.469026548673
04/1992,14882.743362831863
05/1992,14933.628318584071
06/1992,15194.690265486726
07/1992,15834.070796460177
08/1992,15044.247787610619
09/1992,15442.477876106195
10/1992,15011.061946902653
11/1992,14787.610619469027
12/1992,14730.08849557522
01/1993,14621.681415929204
02/1993,14495.575221238938
03/1993,14946.902654867255
04/1993,15676.991150442478
05/1993,16701.327433628318
06/1993,16745.575221238938
07/1993,17776.54867256637
08/1993,16440.265486725664
09/1993,15730.088495575223
10/1993,16353.982300884956
11/1993,16411.504424778763
12/1993,17285.398230088496
01/1994,16721.2389380531
02/1994,16882.743362831858
03/1994,17221.2389380531
04/1994,16657.079646017697
05/1994,17150.442477876106
06/1994,17179.203539823007
07/1994,16991.150442477876
08/1994,17068.58407079646
09/1994,17471.2389380531
10/1994,16984.513274336285
11/1994,16951.327433628318
12/1994,16924.77876106195
01/1995,16588.495575221237
02/1995,16654.867256637168
03/1995,17345.132743362832
04/1995,17245.575221238938
05/1995,17004.424778761062
06/1995,17126.106194690266
07/1995,16962.389380530974
08/1995,16918.141592920354
09/1995,16991.150442477876
10/1995,16931.41592920354
11/1995,17159.29203539823
12/1995,17110.619469026547
01/1996,17944.690265486723
02/1996,17727.876106194693
03/1996,17537.610619469026
04/1996,17314.159292035398
05/1996,17280.973451327434
06/1996,16902.65486725664
07/1996,17048.672566371682
08/1996,17099.557522123894
09/1996,16769.911504424777
10/1996,16792.035398230088
