Data,MSCI Japan
11/2004,66701.71552993245
12/2004,70122.84249336403
01/2005,68494.42653861767
02/2005,69905.66549504572
03/2005,68459.18437971742
04/2005,66697.787263813
05/2005,66090.1219071919
06/2005,66024.46374490962
07/2005,66682.14902345176
08/2005,71321.69319493366
09/2005,78690.70890238634
10/2005,77746.97102623148
11/2005,81065.6076560036
12/2005,88017.75950406575
01/2006,92455.69009347403
02/2006,91671.49593985638
03/2006,93983.61725967897
04/2006,96717.40988838112
05/2006,90702.33657009991
06/2006,89696.60691337426
07/2006,89200.1676060211
08/2006,90538.78975732668
09/2006,89054.26057872713
10/2006,90604.4105075507
11/2006,91246.66331205211
12/2006,93514.02110414208
01/2007,94305.06166442507
02/2007,98098.6443740682
03/2007,96801.96114009507
04/2007,94917.88988508887
05/2007,96466.8613340766
06/2007,96177.66612356828
07/2007,96021.17148378094
08/2007,93200.43323163489
09/2007,95350.48551498634
10/2007,94986.59713012101
11/2007,93245.58958597944
12/2007,89554.83391852028
01/2008,85461.89862454568
02/2008,86050.57736158941
03/2008,82560.27550239717
04/2008,88558.75657283099
05/2008,90787.74829915432
06/2008,84598.70890986874
07/2008,81715.49252039427
08/2008,78464.72136434294
09/2008,69668.82846010098
10/2008,59370.18670487684
11/2008,58630.512900613
12/2008,63395.05075881007
01/2009,59086.22918252783
02/2009,51770.07671342551
03/2009,52857.06536073642
04/2009,57944.95563865189
05/2009,63914.143067452074
06/2009,65038.1322404024
07/2009,67819.68136149962
08/2009,70488.41442085199
09/2009,69274.44924773704
10/2009,67537.14549736526
11/2009,66844.66700462226
12/2009,67360.18646169845
01/2010,68638.81837755127
02/2010,69406.98146419572
03/2010,72873.26478197188
04/2010,72759.3263584786
05/2010,66875.45712858712
06/2010,65533.59883424026
07/2010,67866.50255243767
08/2010,66316.20297538099
09/2010,69351.667736028
10/2010,70766.4608379927
11/2010,72253.96427522556
12/2010,77758.28817386132
01/2011,77856.83153537217
02/2011,81407.06751192977
03/2011,73928.17258930726
04/2011,74197.78258730572
05/2011,72989.54145910768
06/2011,74058.74067270622
07/2011,76681.58784257754
08/2011,70449.09434759918
09/2011,69290.16231221484
10/2011,69119.22661793123
11/2011,66067.33796369909
12/2011,66614.52672810973
01/2012,69626.04777145722
02/2012,73139.73216707478
03/2012,74118.52514183847
04/2012,71751.46421443096
05/2012,65346.35148254636
06/2012,68705.4305473197
07/2012,67064.72473142818
08/2012,66577.69455673257
09/2012,68126.17964896266
10/2012,66850.48457968487
11/2012,68437.89691855584
12/2012,72063.53689857777
01/2013,74709.39248429162
02/2013,76701.28529126223
03/2013,80446.60644572352
04/2013,87502.3522831644
05/2013,82545.9279780466
06/2013,83988.94847798393
07/2013,84495.35809886885
08/2013,82677.3004206986
09/2013,89583.49155516314
10/2013,89582.61237179356
11/2013,90914.8557671623
12/2013,91638.33015019071
01/2014,88102.83452459563
02/2014,87630.22669836716
03/2014,86501.78549048144
04/2014,84268.3230231936
05/2014,87675.9816456442
06/2014,92260.75456380346
07/2014,92794.9239319325
08/2014,90780.04141514852
09/2014,90134.440231431
10/2014,88959.73901348142
11/2014,89232.80962687085
12/2014,87952.69993471597
01/2015,90006.86511269448
02/2015,95468.3709106282
03/2015,96931.70615821186
04/2015,100364.63662603094
05/2015,101672.5247714591
06/2015,99929.21638573329
07/2015,100399.56078243577
08/2015,94564.51428860036
09/2015,88133.34405812337
10/2015,97026.00325110786
11/2015,96056.97482355539
12/2015,96368.8604474108
01/2016,88441.99353893753
02/2016,86016.47627046674
03/2016,90085.63620140408
04/2016,94273.56071135288
05/2016,93294.46844012293
06/2016,90995.7593431939
07/2016,96893.86386126112
08/2016,97263.81299956789
09/2016,98821.3331038727
10/2016,100125.18074700657
11/2016,97710.28850308743
12/2016,98658.42229609026
01/2017,102329.06898222366
02/2017,103473.22325458718
03/2017,103092.21885305854
04/2017,104173.85757603533
05/2017,107307.84699216404
06/2017,108446.07145329013
07/2017,110640.00808100458
08/2017,110582.95469212682
09/2017,112750.10428611246
10/2017,117947.85507316864
11/2017,121475.68122681622
12/2017,122322.447047908
01/2018,127928.56915712504
02/2018,126001.90427376649
03/2018,123341.55151546896
04/2018,124164.52326749435
05/2018,122941.4482581881
06/2018,119844.75866416506
07/2018,120323.40853780582
08/2018,120589.67015658815
09/2018,124253.0776094443
10/2018,113747.17305134618
11/2018,114196.92210996525
12/2018,106567.96742157963
01/2019,113068.38737193383
02/2019,113031.40555232359
03/2019,113670.51574392944
04/2019,115247.00376178244
05/2019,110683.14418420201
